Name,Size / Usage,Context,Input,Digest,Updated,source,size_gb,is_installed
deepseek-coder:1.3b-instruct-q3_K_M,705MB,16K,Text,1cd27a52ef39,2 years ago,deepseek\deepseek-coder.csv,0.6884765625,False
deepseek-coder:1.3b-base-q3_K_M,705MB,16K,Text,08722dd8ec98,2 years ago,deepseek\deepseek-coder.csv,0.6884765625,False
granite4:350m-f16,708MB,32K,Text,5f406a30dfcd,10 months ago,ibm\granite4.csv,0.69140625,False
granite4:350m-base-f16,708MB,32K,Text,db71f755768b,10 months ago,ibm\granite4.csv,0.69140625,False
granite4:350m-base-bf16,708MB,32K,Text,e22733e34ef0,10 months ago,ibm\granite4.csv,0.69140625,False
granite4:350m-bf16,708MB,32K,Text,5eee845b49c4,10 months ago,ibm\granite4.csv,0.69140625,False
granite3.1-moe:1b-base-q3_K_L,711MB,128K,Text,07fc3b31653e,1 year ago,ibm\granite3.1-moe.csv,0.6943359375,False
granite3.1-moe:1b-instruct-q3_K_L,711MB,128K,Text,a3c5aa2de112,1 year ago,ibm\granite3.1-moe.csv,0.6943359375,False
granite3-moe:1b-instruct-q3_K_L,711MB,4K,Text,bbb955565d3d,1 year ago,granite\granite3-moe.csv,0.6943359375,False
granite3-moe:1b-instruct-q3_K_L,711MB,4K,Text,cce9d2fec272,1 year ago,ibm\granite3-moe.csv,0.6943359375,False
granite3.1-moe:1b-instruct-q3_K_L,724MB,128K,Text,38e819bae7cb,1 year ago,granite\granite3.1-moe.csv,0.70703125,False
granite4:1b-h-q3_K_M,732MB,1M,Text,45a24969d797,10 months ago,ibm\granite4.csv,0.71484375,False
granite4:1b-h-base-q3_K_M,732MB,1M,Text,9a94d8a83cda,10 months ago,ibm\granite4.csv,0.71484375,False
granite3-moe:1b-base-q3_K_L,733MB,4K,Text,3c85e3423f9d,1 year ago,ibm\granite3-moe.csv,0.7158203125,False
llama3.2:1b-instruct-q3_K_L,733MB,128K,Text,1a709e91d2fb,1 year ago,llama\llama3.2.csv,0.7158203125,False
llama3.2:1b-text-q3_K_L,733MB,128K,Text,62d0627d1f48,1 year ago,llama\llama3.2.csv,0.7158203125,False
deepseek-coder:1.3b-base-q3_K_L,745MB,16K,Text,9884474f8e97,2 years ago,deepseek\deepseek-coder.csv,0.7275390625,False
deepseek-coder:1.3b-instruct-q3_K_L,745MB,16K,Text,0d2f32faf31e,2 years ago,deepseek\deepseek-coder.csv,0.7275390625,False
llama-guard3:1b-q3_K_S,755MB,128K,Text,ba60616a0c42,1 year ago,llama\llama-guard3.csv,0.7373046875,False
